title,author,isbn,openLibraryId,url
"Just My Luck","Adele Parks","0008284709","OL21666354W","https://openlibrary.org/works/OL21666354W"
"Kairos","Jenny Erpenbeck","","OL29330702W","https://openlibrary.org/works/OL29330702W"
"Keep Her Safe","K.A. Tucker","1501133403","",""
"Killers of a Certain Age","Deanna Raybourn","","OL27021614W","https://openlibrary.org/works/OL27021614W"
"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","David Grann","0593470834","",""
"Killing England: The Brutal Struggle for American Independence","Bill O'Reilly","1627790640","",""
"Killing November","Adriana Mather","0525579109","OL20161630W","https://openlibrary.org/works/OL20161630W"
"Killman Creek","Rachel Caine","1542096413","OL19731773W","https://openlibrary.org/works/OL19731773W"
"King's Dragon","William L. Culbertson","","",""
"Kingdom of the Wicked","Kerri Maniscalco","1529350441","",""
"Kitty and the Midnight Hour","Carrie Vaughn","0446616419","",""
"Knowing Your Value: Women, Money, and Getting What You're Worth","Mika Brzezinski","1611744415","",""
