title,author,isbn,openLibraryId,url,description
""Atonement"",""Ian McEwan"","""",""OL1855944W"",""https://openlibrary.org/works/OL1855944W"",
""Awake at Dawn"",""C.C. Hunter"",""0312624689"","""","""","Having settled in at Shadow Falls Camp, a training ground for vampires, werewolves, and other supernatural beings, sixteen-year-old Kylie Galen is eager to discover what her abilities might be, but an interfering ghost and a rogue vampire on a murdering rampage get in the way of her search."
""Awakening"",""Cate Tiernan"",""0142300454"","""","""","For now, Morgan is safe from the dark wave that has been attacking witches. Betrayed by her first love, she is trying to come to grips with her Woodbane heritage and with Wicca—its thorn and its rose."
""Baby Teeth"",""Zoje Stage"",""1250170753"",""OL19763915W"",""https://openlibrary.org/works/OL19763915W"","Afflicted with a chronic debilitating condition, Suzette Jensen knew having children would wreak havoc on her already fragile body. Nevertheless, she brought Hanna into the world, pleased and proud to start a family with her husband Alex. Estranged from her own mother, Suzette is determined to raise her beautiful daughter with the love, care, and support she was denied. But Hanna proves to be a difficult child. Now seven-years-old, she has yet to utter a word, despite being able to read and write. Defiant and anti-social, she refuses to behave in kindergarten classes, forcing Suzette to homeschool her. Resentful of her mother's rules and attentions, Hanna lashes out in anger, becoming more aggressive every day. The only time Hanna is truly happy is when she's with her father. To Alex, she's willful and precocious but otherwise the perfect little girl, doing what she's told. Suzette knows her clever and manipulative daughter doesn't love her. She can see the hatred and jealousy in her eyes. And as Hanna's subtle acts of cruelty threaten to tear her and Alex apart, Suzette fears her very life may be in grave danger...--Amazon.com"
""Bad Blood: Secrets and Lies in a Silicon Valley Startup"",""John Carreyrou"","""",""OL27695113W"",""https://openlibrary.org/works/OL27695113W"",
""Be the Girl"",""K.A. Tucker"","""",""OL34559409W"",""https://openlibrary.org/works/OL34559409W"",
""Beach Read"",""Emily Henry"",""1984806734"","""","""","A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.

Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast.

They’re polar opposites.

In fact, the only thing they have in common is that for the next three months, they're living in neighboring beach houses, broke, and bogged down with writer's block.

Until, one hazy evening, one thing leads to another and they strike a deal designed to force them out of their creative ruts: Augustus will spend the summer writing something happy, and January will pen the next Great American Novel. She’ll take him on field trips worthy of any rom-com montage, and he’ll take her to interview surviving members of a backwoods death cult (obviously). Everyone will finish a book and no one will fall in love. Really."
""Beartown"",""Neil Smith"","""","""","""",
""Because of Winn-Dixie"",""Kate DiCamillo"",""0763616052"","""","""","Ten-year-old India Opal Buloni describes her first summer in the town of Naomi, Florida, and all the good things that happen to her because of her big ugly dog Winn-Dixie."
""Becoming"",""Michelle Obama"",""1524763136"","""","""","IN A LIFE filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. As First Lady of the United States of America—the first African American to serve in that role—she helped create the most welcoming and inclusive White House in history, while also establishing herself as a powerful advocate for women and girls in the U.S. and around the world, dramatically changing the ways that families pursue healthier and more active lives, and standing with her husband as he led America through some of its most harrowing moments. Along the way, she showed us a few dance moves, crushed Carpool Karaoke, and raised two down-to-earth daughters under an unforgiving media glare.

In her memoir, a work of deep reflection and mesmerizing storytelling, Michelle Obama invites readers into her world, chronicling the experiences that have shaped her—from her childhood on the South Side of Chicago to her years as an executive balancing the demands of motherhood and work, to her time spent at the world’s most famous address. With unerring honesty and lively wit, she describes her triumphs and her disappointments, both public and private, telling her full story as she has lived it—in her own words and on her own terms. Warm, wise, and revelatory, Becoming is the deeply personal reckoning of a woman of soul and substance who has steadily defied expectations—and whose story inspires us to do the same.
([source][1])


  [1]: https://becomingmichelleobama.com/"
""Becoming Free Indeed: My Story of Disentangling Faith from Fear"",""Jinger Duggar Vuolo"","""","""","""",
""Before I Fall"",""Lauren Oliver"",""0061726818"","""","""",
""Before We Were Innocent"",""Ella Berman"","""",""OL28732666W"",""https://openlibrary.org/works/OL28732666W"",
""Before"," During"," After"",""Richard Bausch"",""0307266265"","When Cora is savagely murdered with a hatchet, the extraordinary remark she made the previous day at her brother Richard's funeral suddenly takes on a chilling significance. At the reading of Richard's will, Cora was clearly heard to say: 'It's been hushed up very nicely, hasn't it. But he was murdered, wasn't he?' In desperation, the family solicitor turns to Hercule Poirot to unravel the mystery."
""Behind Closed Doors"",""B.A. Paris"",""1250121000"","""","""","**The perfect marriage? Or the perfect lie?**

Everyone knows a couple like Jack and Grace. He has looks and wealth, she has charm and elegance. You might not want to like them, but you do. You'd like to get to know Grace better. 

But it's difficult, because you realise Jack and Grace are never apart. 

Some might call this true love. Others might ask why Grace never answers the phone. Or how she can never meet for coffee, even though she doesn't work. How she can cook such elaborate meals but remain so slim. And why there are bars on one of the bedroom windows.

Some might wonder what’s really going on once the dinner party is over, and the front door has closed."
""Being Mortal: Medicine and What Matters in the End"",""Atul Gawande"",""0805095152"","""","""","Being Mortal: Medicine and What Matters in the End is a 2014 non-fiction book by American surgeon Atul Gawande. The book addresses end-of-life care, hospice care, and also contains Gawande's reflections and personal stories. He suggests that medical care should focus on well-being rather than survival. Being Mortal has won awards, appeared on lists of best books, and been featured in a documentary."
""Belle Cora"",""Phillip Margulies"",""0385532768"","""","""","A sweeping historical tale based on the life and times of the daughter of a New York merchant finds the orphaned Belle suffering at the hands of a rival cousin before working as a prostitute and transforming herself repeatedly to win the love and life she desires."
""Beowulf"",""Unknown"",""0393320979"",""OL38944809W"",""https://openlibrary.org/works/OL38944809W"","Composed toward the end of the first millennium, Beowulf is the elegiac narrative of the adventures of Beowulf, a Scandinavian hero who saves the Danes from the seemingly invincible monster Grendel and, later, from Grendel's mother. He then returns to his own country and dies in old age in a vivid fight against a dragon. The poem is about encountering the monstrous, defeating it, and then having to live on in the exhausted aftermath. In the contours of this story, at once remote and uncannily familiar at the beginning of the twenty-first century, Nobel laureate Seamus Heaney finds a resonance that summons power to the poetry from deep beneath its surface. Drawn to what he has called the ""four-squareness of the utterance"" in Beowulf and its immense emotional credibility, Heaney gives these epic qualities new and convincing reality for the contemporary reader."
""Better the Blood"",""Michael  Bennett"",""0802160603"","""","""",
""Between Cases"",""W.R. Gingell"","""","""","""",
""Between Decisions"",""W.R. Gingell"","""","""","""",
""Between Family"",""W.R. Gingell"","""","""","""",
""Between Floors"",""W.R. Gingell"","""",""OL24635786W"",""https://openlibrary.org/works/OL24635786W"",
""Between Frames"",""W.R. Gingell"","""","""","""",
""Between Homes"",""W.R. Gingell"","""","""","""",
